rank,pass_constraints,score_threshold,rsi_lo,rsi_hi,vol_mult,atr_threshold,adx_threshold,trailing_stop,stop_loss,take_profit,ema_short,ema_long,val_win_rate,val_profit_factor,val_max_drawdown,test_win_rate,test_profit_factor,test_max_drawdown,test_sharpe,test_trades,objective
1,True,71,40,60,1.8,0.04,35.0,0.012,0.0125,0.08,9,21,0.4,1.2751743244880578,4.229283736827329e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
2,True,74,45,60,2.0,0.03,35.0,0.006,0.015,0.08,7,21,0.375,1.029600503519085,4.2292837368255926e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
3,True,72,38,60,1.8,0.04,35.0,0.012,0.0175,0.05,9,21,0.4,1.2751743244880578,4.229283736827329e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
4,True,71,42,60,1.8,0.03,35.0,0.012,0.0125,0.03,9,30,0.4,1.2751743244880578,4.229283736827329e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
5,True,75,40,60,1.8,0.02,35.0,0.015,0.015,0.08,12,21,0.4,1.2751743244880578,4.229283736827329e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
6,True,74,35,60,2.0,0.025,35.0,0.012,0.015,0.08,12,50,0.375,1.029600503519085,4.2292837368255926e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
7,True,70,45,60,2.0,0.025,35.0,0.006,0.015,0.06,12,21,0.375,1.029600503519085,4.2292837368255926e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
8,True,70,42,60,1.8,0.02,35.0,0.01,0.02,0.03,7,30,0.4,1.2751743244880578,4.229283736827329e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
9,True,70,45,60,2.0,0.05,35.0,0.012,0.02,0.08,9,50,0.375,1.029600503519085,4.2292837368255926e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
10,True,70,35,60,1.8,0.025,35.0,0.01,0.02,0.04,9,21,0.4,1.2751743244880578,4.229283736827329e-05,1.0,999.0,0.0,7.636549737813444,4,504.05461989512537
